TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;165;115.00;1006;1
Census Block;51;165;115.00;1008;1
Census Block;51;165;115.00;1009;1
Census Block;51;165;115.00;1013;1
Census Block;51;165;115.00;1014;1
Census Block;51;165;115.00;1015;1
Census Block;51;165;115.00;1019;1
Census Block;51;165;115.00;1027;1
Census Block;51;165;115.00;1028;1
Census Block;51;165;115.00;1029;1
Census Block;51;165;115.00;1030;1
Census Block;51;165;115.00;1032;1
Census Block;51;165;115.00;1033;1
Census Block;51;165;115.00;1034;1
Census Block;51;165;115.00;1035;1
Census Block;51;165;115.00;1036;1
Census Block;51;165;115.00;1037;1
Census Block;51;165;115.00;1038;1
Census Block;51;165;115.00;1039;1
Census Block;51;165;115.00;1040;1
Census Block;51;165;115.00;1041;1
Census Block;51;165;115.00;1042;1
Census Block;51;165;115.00;1043;1
Census Block;51;165;115.00;1044;1
Census Block;51;165;115.00;1045;1
Census Block;51;165;115.00;1048;1
Census Block;51;165;115.00;1049;1
Census Block;51;165;115.00;1050;1
Census Block;51;165;115.00;1051;1
Census Block;51;165;115.00;1052;1
Census Block;51;165;115.00;1053;1
Census Block;51;165;115.00;1054;1
Census Block;51;165;115.00;1055;1
Census Block;51;165;115.00;1056;1
Census Block;51;165;115.00;1057;1
Census Block;51;165;115.00;1058;1
Census Block;51;165;115.00;1059;1
Census Block;51;165;115.00;1060;1
Census Block;51;165;115.00;1061;1
Census Block;51;165;115.00;1062;1
Census Block;51;165;115.00;1063;1
Census Block;51;165;115.00;1064;1
Census Block;51;165;115.00;1065;1
Census Block;51;165;115.00;1066;1
Census Block;51;165;115.00;1067;1
Census Block;51;165;115.00;1068;1
Census Block;51;165;115.00;1069;1
Census Block;51;165;115.00;1070;1
Census Block;51;165;115.00;1071;1
Census Block;51;165;115.00;1072;1
Census Block;51;165;115.00;1073;1
Census Block;51;165;115.00;1074;1
Census Block;51;165;115.00;1075;1
Census Block;51;165;115.00;1076;1
Census Block;51;165;115.00;1077;1
Census Block;51;165;115.00;1078;1
Census Block;51;165;115.00;2002;1
Census Block;51;165;115.00;2003;1
Census Block;51;165;115.00;2004;1
Census Block;51;165;115.00;2005;1
Census Block;51;165;115.00;2006;1
Census Block;51;165;115.00;2008;1
Census Block;51;165;115.00;2009;1
Census Block;51;165;115.00;2010;1
Census Block;51;165;115.00;2011;1
Census Block;51;165;115.00;2012;1
Census Block;51;165;115.00;2013;1
Census Block;51;165;115.00;2014;1
Census Block;51;165;115.00;2015;1
Census Block;51;165;115.00;2016;1
Census Block;51;165;115.00;2017;1
Census Block;51;165;115.00;2018;1
Census Block;51;165;115.00;2019;1
Census Block;51;165;115.00;2020;1
Census Block;51;165;115.00;2021;1
Census Block;51;165;115.00;2022;1
Census Block;51;165;115.00;2023;1
Census Block;51;165;115.00;2024;1
Census Block;51;165;115.00;2025;1
Census Block;51;165;115.00;2026;1
Census Block;51;165;115.00;2032;1
Census Block;51;165;115.00;2033;1
Census Block;51;165;115.00;2034;1
Census Block;51;165;115.00;2035;1
Census Block;51;165;115.00;2036;1
Census Block;51;165;115.00;2037;1
Census Block;51;165;115.00;2038;1
Census Block;51;165;115.00;2039;1
Census Block;51;165;115.00;2041;1
Census Block;51;165;115.00;2043;1
Census Block;51;165;115.00;2044;1
Census Block;51;165;115.00;2045;1
Census Block;51;165;115.00;2046;1
Census Block;51;165;115.00;2047;1
Census Block;51;165;115.00;2048;1
Census Block;51;165;115.00;2049;1
Census Block;51;165;115.00;2050;1
Census Block;51;165;115.00;2051;1
Census Block;51;165;115.00;2053;1
Census Block;51;165;115.00;2054;1
Census Block;51;165;115.00;2055;1
Census Block;51;165;115.00;3000;1
Census Block;51;165;115.00;3001;1
Census Block;51;165;115.00;3002;1
Census Block;51;165;115.00;3003;1
Census Block;51;165;115.00;3004;1
Census Block;51;165;115.00;3005;1
Census Block;51;165;115.00;3006;1
Census Block;51;165;115.00;3007;1
Census Block;51;165;115.00;3008;1
Census Block;51;165;115.00;3009;1
Census Block;51;165;115.00;3010;1
Census Block;51;165;115.00;3011;1
Census Block;51;165;115.00;3012;1
Census Block;51;165;115.00;3013;1
Census Block;51;165;115.00;3014;1
Census Block;51;165;115.00;3017;1
Census Block;51;165;115.00;3018;1
Census Block;51;165;115.00;3019;1
Census Block;51;165;115.00;3020;1
Census Block;51;165;115.00;3021;1
Census Block;51;165;115.00;3022;1
Census Block;51;165;115.00;3023;1
Census Block;51;165;115.00;3024;1
Census Block;51;165;115.00;3025;1
Census Block;51;165;115.00;3026;1
Census Block;51;165;115.00;3027;1
Census Block;51;165;115.00;3028;1
Census Block;51;165;115.00;3029;1
Census Block;51;165;115.00;3030;1
Census Block;51;165;115.00;3031;1
Census Block;51;165;115.00;3032;1
Census Block;51;165;115.00;3033;1
Census Block;51;165;115.00;3034;1
Census Block;51;165;115.00;3035;1
Census Block;51;165;115.00;3036;1
Census Block;51;165;115.00;3037;1
Census Block;51;165;115.00;3042;1
Census Block;51;165;115.00;3043;1
Census Block;51;165;116.00;1041;1
Census Block;51;165;116.00;1058;1
Census Block;51;165;116.00;1063;1
Census Block;51;165;116.00;1092;1
Census Block;51;165;116.00;1095;1
Census Block;51;165;116.00;1096;1
Census Block;51;165;116.00;1140;1
Census Block;51;165;116.00;1141;1
Census Block;51;165;116.00;1143;1
Census Block;51;165;116.00;1154;1
Census Block;51;165;116.00;1155;1
