TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;167;301.00;4031;1
Census Block;51;167;301.00;4037;1
Census Block;51;167;301.00;4038;1
Census Block;51;167;301.00;4042;1
Census Block;51;167;301.00;4043;1
Census Block;51;167;301.00;4044;1
Census Block;51;167;301.00;4045;1
Census Block;51;167;301.00;4046;1
Census Block;51;167;301.00;4057;1
Census Block;51;167;301.00;4058;1
Census Block;51;167;301.00;4059;1
Census Block;51;167;301.00;4060;1
Census Block;51;167;301.00;5011;1
Census Block;51;167;301.00;5012;1
Census Block;51;167;301.00;5013;1
Census Block;51;167;301.00;5014;1
Census Block;51;167;301.00;5015;1
Census Block;51;167;301.00;5016;1
Census Block;51;167;301.00;5017;1
Census Block;51;167;301.00;5018;1
Census Block;51;167;301.00;5019;1
Census Block;51;167;301.00;5020;1
Census Block;51;167;301.00;5021;1
Census Block;51;167;301.00;5022;1
Census Block;51;167;301.00;5023;1
Census Block;51;167;301.00;5024;1
Census Block;51;167;301.00;5025;1
Census Block;51;167;301.00;5026;1
Census Block;51;167;301.00;5027;1
Census Block;51;167;301.00;5028;1
Census Block;51;167;301.00;5029;1
Census Block;51;167;301.00;5030;1
Census Block;51;167;301.00;5031;1
Census Block;51;167;301.00;5032;1
Census Block;51;167;301.00;5033;1
Census Block;51;167;305.00;1011;1
Census Block;51;167;305.00;1049;1
Census Block;51;167;305.00;1050;1
Census Block;51;167;305.00;1051;1
Census Block;51;167;305.00;1052;1
Census Block;51;167;305.00;1053;1
Census Block;51;167;305.00;1054;1
Census Block;51;167;305.00;1055;1
Census Block;51;167;305.00;1056;1
Census Block;51;167;305.00;1069;1
Census Block;51;167;305.00;1070;1
Census Block;51;167;305.00;2000;1
Census Block;51;167;305.00;2001;1
Census Block;51;167;305.00;2002;1
Census Block;51;167;305.00;2003;1
Census Block;51;167;305.00;2008;1
Census Block;51;167;305.00;2009;1
Census Block;51;167;305.00;2010;1
Census Block;51;167;305.00;2011;1
Census Block;51;167;305.00;2012;1
Census Block;51;167;305.00;2013;1
Census Block;51;167;305.00;2014;1
Census Block;51;167;305.00;2022;1
Census Block;51;167;305.00;2023;1
Census Block;51;167;305.00;2028;1
Census Block;51;167;305.00;2030;1
Census Block;51;167;305.00;2031;1
Census Block;51;167;305.00;2049;1
Census Block;51;167;305.00;2054;1
