TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;139;304.00;1041;1
Census Block;51;139;304.00;1042;1
Census Block;51;139;304.00;1043;1
Census Block;51;139;304.00;1044;1
Census Block;51;139;304.00;1048;1
Census Block;51;139;304.00;1049;1
Census Block;51;139;304.00;1050;1
Census Block;51;139;304.00;1051;1
Census Block;51;139;304.00;1055;1
Census Block;51;139;304.00;1056;1
Census Block;51;139;304.00;1057;1
Census Block;51;139;304.00;1058;1
Census Block;51;139;304.00;1059;1
Census Block;51;139;304.00;2003;1
Census Block;51;139;304.00;2027;1
Census Block;51;139;304.00;2028;1
Census Block;51;139;304.00;2029;1
Census Block;51;139;304.00;2030;1
Census Block;51;139;304.00;2031;1
Census Block;51;139;304.00;2036;1
Census Block;51;139;304.00;2037;1
Census Block;51;139;304.00;2038;1
Census Block;51;139;304.00;2039;1
Census Block;51;139;304.00;2040;1
Census Block;51;139;304.00;2042;1
Census Block;51;139;304.00;2043;1
Census Block;51;139;304.00;3004;1
Census Block;51;139;304.00;3005;1
Census Block;51;139;304.00;3006;1
Census Block;51;139;304.00;3007;1
Census Block;51;139;304.00;3008;1
Census Block;51;139;304.00;3009;1
Census Block;51;139;304.00;3010;1
Census Block;51;139;304.00;3011;1
Census Block;51;139;304.00;3012;1
Census Block;51;139;304.00;3013;1
Census Block;51;139;304.00;3014;1
Census Block;51;139;304.00;3015;1
Census Block;51;139;304.00;3016;1
Census Block;51;139;304.00;3017;1
Census Block;51;139;304.00;3018;1
Census Block;51;139;304.00;3019;1
Census Block;51;139;304.00;3020;1
Census Block;51;139;304.00;3021;1
Census Block;51;139;304.00;3022;1
Census Block;51;139;304.00;3023;1
Census Block;51;139;304.00;3024;1
Census Block;51;139;304.00;3026;1
Census Block;51;139;304.00;3027;1
Census Block;51;139;304.00;3031;1
Census Block;51;139;304.00;3032;1
