TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;167;301.00;1006;2
Census Block;51;167;301.00;1010;2
Census Block;51;167;301.00;1028;2
Census Block;51;167;301.00;1029;2
Census Block;51;167;301.00;1035;2
Census Block;51;167;301.00;1036;2
Census Block;51;167;301.00;2000;2,3
Census Block;51;167;301.00;2001;2,3
Census Block;51;167;301.00;2002;2,3
Census Block;51;167;301.00;2003;2
Census Block;51;167;301.00;2004;3
Census Block;51;167;301.00;2005;3
Census Block;51;167;301.00;2007;3
Census Block;51;167;301.00;2064;2,3
Census Block;51;185;205.00;1024;3
Census Block;51;185;205.00;1025;3
Census Block;51;185;205.00;1029;3
Census Block;51;185;205.00;1030;3
Census Block;51;185;205.00;1031;3
Census Block;51;185;205.00;1032;3
Census Block;51;185;205.00;1033;3
Census Block;51;185;205.00;1034;3
Census Block;51;185;205.00;1035;3
Census Block;51;185;205.00;1036;3
Census Block;51;185;205.00;1037;3
Census Block;51;185;205.00;1038;3
Census Block;51;185;205.00;1039;3
Census Block;51;185;205.00;1040;3
Census Block;51;185;205.00;1041;3
Census Block;51;185;205.00;1042;3
Census Block;51;185;205.00;1043;3
Census Block;51;185;205.00;1044;3
Census Block;51;185;205.00;1045;3
Census Block;51;185;205.00;1046;3
Census Block;51;185;205.00;1047;3
Census Block;51;185;205.00;1048;3
Census Block;51;185;205.00;1049;3
Census Block;51;185;205.00;1050;3
Census Block;51;185;205.00;1051;3
Census Block;51;185;205.00;1052;3
Census Block;51;185;205.00;1053;3
Census Block;51;185;205.00;1054;3
Census Block;51;185;205.00;1055;3
Census Block;51;185;205.00;1056;3
Census Block;51;185;205.00;1057;3
Census Block;51;185;205.00;1058;3
Census Block;51;185;205.00;1059;3
Census Block;51;185;205.00;1060;3
Census Block;51;185;205.00;1061;3
Census Block;51;185;205.00;1062;3
Census Block;51;185;205.00;1063;3
Census Block;51;185;205.00;1064;3
Census Block;51;185;205.00;1065;3
Census Block;51;185;205.00;1066;3
Census Block;51;185;205.00;1067;3
Census Block;51;185;205.00;1068;2,3
Census Block;51;185;205.00;1069;3
Census Block;51;185;205.00;1070;3
Census Block;51;185;205.00;1071;3
Census Block;51;185;205.00;1072;3
Census Block;51;185;205.00;1073;3
Census Block;51;185;205.00;1074;3
Census Block;51;185;205.00;1075;3
Census Block;51;185;205.00;1079;3
Census Block;51;185;205.00;1085;3
Census Block;51;185;205.00;1086;3
Census Block;51;185;205.00;1087;3
Census Block;51;185;205.00;1089;3
Census Block;51;185;205.00;1090;3
Census Block;51;185;205.00;1091;3
Census Block;51;185;205.00;1092;3
Census Block;51;185;205.00;2039;2
Census Block;51;185;205.00;2040;2,3
Census Block;51;185;205.00;2041;2,3
Census Block;51;185;205.00;2042;3
Census Block;51;185;205.00;2043;3
Census Block;51;185;205.00;2044;3
Census Block;51;185;205.00;2045;2
Census Block;51;185;205.00;2046;2
Census Block;51;185;205.00;2047;2,3
Census Block;51;185;205.00;2048;2
Census Block;51;185;205.00;2049;3
Census Block;51;185;205.00;2050;3
Census Block;51;185;205.00;2051;1,2,3
Census Block;51;185;205.00;2052;2
Census Block;51;185;205.00;2053;2
Census Block;51;185;205.00;2054;2
Census Block;51;185;205.00;2055;2
Census Block;51;185;205.00;2056;2
Census Block;51;185;205.00;2057;2
Census Block;51;185;205.00;2058;2
Census Block;51;185;205.00;2059;2
Census Block;51;185;205.00;2060;2,3
Census Block;51;185;205.00;2061;3
Census Block;51;185;205.00;2062;3
Census Block;51;185;205.00;2066;3
Census Block;51;185;205.00;2067;3
Census Block;51;185;205.00;2068;2,3
Census Block;51;185;205.00;2069;3
Census Block;51;185;205.00;2070;3
Census Block;51;185;205.00;2072;2
Census Block;51;185;205.00;2073;3
Census Block;51;185;205.00;2074;3
Census Block;51;185;205.00;2075;2,3
Census Block;51;185;205.00;2076;2,3
Census Block;51;185;205.00;2077;3
Census Block;51;185;205.00;2078;2,3
Census Block;51;185;209.00;2073;3
Census Block;51;185;209.00;2074;3
Census Block;51;185;209.00;2075;3
Census Block;51;185;209.00;2076;3
Census Block;51;185;209.00;2078;3
Census Block;51;185;209.00;2079;3
Census Block;51;185;209.00;2080;3
Census Block;51;185;209.00;2081;3
Census Block;51;185;209.00;2082;3
Census Block;51;185;209.00;2083;3
Census Block;51;185;209.00;2084;3
Census Block;51;185;209.00;2085;3
Census Block;51;185;209.00;2086;3
Census Block;51;185;209.00;2087;3
Census Block;51;185;209.00;2088;3
Census Block;51;185;209.00;2089;3
Census Block;51;185;209.00;2090;3
