TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;061;9303.04;1004;1
Census Block;51;061;9303.04;1023;1,2
Census Block;51;061;9303.04;1024;2
Census Block;51;061;9303.04;1025;2
Census Block;51;061;9303.04;1026;1,2
Census Block;51;061;9303.04;1027;1,2
Census Block;51;061;9303.04;1028;2
Census Block;51;061;9303.04;1029;2
Census Block;51;061;9303.04;1030;2
Census Block;51;061;9303.04;1038;2
Census Block;51;061;9303.04;1039;2
Census Block;51;061;9303.04;1040;2
Census Block;51;061;9303.04;1041;2
Census Block;51;061;9303.04;1042;2
Census Block;51;061;9303.04;1044;1
Census Block;51;061;9303.04;1045;1
Census Block;51;061;9303.04;1056;2
Census Block;51;061;9303.04;1057;2
Census Block;51;061;9303.04;1058;2
Census Block;51;061;9303.04;1059;2
Census Block;51;061;9303.04;1066;2
Census Block;51;061;9304.01;1014;3
Census Block;51;061;9304.01;1015;3
Census Block;51;061;9304.01;1016;3
Census Block;51;061;9304.01;1017;3
Census Block;51;061;9304.01;1018;3
Census Block;51;061;9304.01;1019;3
Census Block;51;061;9304.01;1022;3
Census Block;51;061;9304.01;1027;3
Census Block;51;061;9304.01;1028;3
Census Block;51;061;9304.01;1029;3
Census Block;51;061;9304.01;1030;3
Census Block;51;061;9304.01;1031;3
Census Block;51;061;9304.01;1032;3
Census Block;51;061;9304.01;1033;3
Census Block;51;061;9304.01;1034;3
Census Block;51;061;9304.01;1035;3
Census Block;51;061;9304.01;1036;3
Census Block;51;061;9304.01;1037;3
Census Block;51;061;9304.01;1038;3
Census Block;51;061;9304.01;1039;3
Census Block;51;061;9304.01;1040;3
Census Block;51;061;9304.01;1041;3
Census Block;51;061;9304.01;1042;3
Census Block;51;061;9304.01;1043;3
Census Block;51;061;9304.01;1044;3
Census Block;51;061;9304.01;1045;3
Census Block;51;061;9304.01;1046;3
Census Block;51;061;9304.01;1047;3
Census Block;51;061;9304.01;1048;3
Census Block;51;061;9304.01;1049;3
Census Block;51;061;9304.01;1050;3
Census Block;51;061;9304.01;1051;3
Census Block;51;061;9304.01;1052;3
Census Block;51;061;9304.01;1053;3
Census Block;51;061;9304.01;1054;3
Census Block;51;061;9304.01;1055;3
Census Block;51;061;9304.01;1056;3
Census Block;51;061;9304.01;1057;3
Census Block;51;061;9304.01;1058;3
Census Block;51;061;9304.01;1059;3
Census Block;51;061;9304.01;1060;3
Census Block;51;061;9304.01;1061;3
Census Block;51;061;9304.01;1062;2,3
Census Block;51;061;9304.01;1063;3
Census Block;51;061;9304.01;1064;3
Census Block;51;061;9304.01;1065;3
Census Block;51;061;9304.01;1066;3
Census Block;51;061;9304.01;1067;3
Census Block;51;061;9304.01;1068;3
Census Block;51;061;9304.01;1069;3
Census Block;51;061;9304.01;1070;3
Census Block;51;061;9304.01;1072;2,3
Census Block;51;061;9304.01;1073;2,3
Census Block;51;061;9304.01;1074;3
Census Block;51;061;9304.01;1075;3
Census Block;51;061;9304.01;1076;3
Census Block;51;061;9304.01;1077;2,3
Census Block;51;061;9304.01;1078;2
Census Block;51;061;9304.01;1079;3
Census Block;51;061;9304.01;1080;3
Census Block;51;061;9304.01;1081;3
Census Block;51;061;9304.01;1082;3
Census Block;51;061;9304.01;2005;3
Census Block;51;061;9304.01;2006;3
Census Block;51;061;9304.01;2021;2,3
Census Block;51;061;9304.01;2022;3
Census Block;51;061;9304.01;2023;2,3
Census Block;51;061;9304.01;2024;2,3
Census Block;51;061;9304.01;2025;2
Census Block;51;061;9304.01;2026;3
Census Block;51;061;9304.02;1000;2,3
Census Block;51;061;9304.02;1001;2,3
Census Block;51;061;9304.02;1002;2,3
Census Block;51;061;9304.02;1003;2,3
Census Block;51;061;9304.02;1004;2,3
Census Block;51;061;9304.02;1005;3
Census Block;51;061;9304.02;1006;2
Census Block;51;061;9304.02;1007;2
Census Block;51;061;9304.02;1008;3
Census Block;51;061;9304.02;1009;2
Census Block;51;061;9304.02;1010;2
Census Block;51;061;9304.02;3000;2
Census Block;51;061;9304.02;3001;2
Census Block;51;061;9304.02;3002;2
Census Block;51;061;9304.02;3003;2
Census Block;51;061;9304.02;3004;2
Census Block;51;061;9304.02;3005;2
Census Block;51;061;9304.02;3006;2
Census Block;51;061;9304.02;3007;2
Census Block;51;061;9304.02;3008;2
Census Block;51;061;9304.02;3009;2
Census Block;51;061;9304.02;3010;2
Census Block;51;061;9304.02;3011;2
Census Block;51;061;9304.02;3012;2
Census Block;51;061;9304.02;3013;2
Census Block;51;061;9304.02;3014;2
Census Block;51;061;9304.02;3015;2
Census Block;51;061;9304.02;3016;2
Census Block;51;061;9304.02;3017;2
Census Block;51;061;9304.02;3018;2
Census Block;51;061;9304.02;3019;2
Census Block;51;061;9304.02;3020;2
Census Block;51;061;9304.02;3021;2
Census Block;51;061;9304.02;3022;2
Census Block;51;061;9304.02;3023;2
Census Block;51;061;9304.02;3024;2
Census Block;51;061;9304.02;3025;2
Census Block;51;061;9304.02;3026;2
Census Block;51;061;9304.02;3027;2
Census Block;51;061;9304.02;3028;2
Census Block;51;061;9304.02;3029;2
Census Block;51;061;9304.02;3030;2
Census Block;51;061;9304.02;3031;2
Census Block;51;061;9304.02;3032;2
Census Block;51;061;9304.02;3033;2
Census Block;51;061;9304.02;3034;2
